Actor1/Actress1	Actor2/Actress2
STENBORG, HELEN	BIVENS, J.B.
MACNEILLE, TRESS	CHAMBERS, LOSSEN
FRANCO, DAVE	KELLY, MATTHEW ROBERT
FLEMYNG, JASON	BOSCO, PHILIP (I)
RESLER, FRED	MOORE, JACK (IV)
WOLFE, JEFF (I)	IMPERIOLI, MICHAEL
STUDI, WES	BARBER, GILLIAN (I)
MARENGO, GISELLA	JACKSON, ANDREW (II)
ESCOBAR, DANIEL (I)	BRIDDELL, JON
FORD DAVIES, OLIVER	RUSSO, GIANNI (I)
BLEU, CORBIN	BARBER, GILLIAN (I)
PRESSMAN, DAVID (I)	NIELSEN, ROBIN (I)
PRIMUS, BARRY (I)	STRUFFOLINO, DAVID
FUGIT, LANETTE	BARBER, GILLIAN (I)
BIRCHARD, PAUL (I)	SHEEDY, ALLY
SHAMOS, JEREMY	DRAKE, JUDITH
SBARGE, RAPHAEL	BARBER, GILLIAN (I)
CASTELLITTO, SERGIO	BARTY, BILLY
PARROTT, BILLY	LITHGOW, JOHN (I)
HARELIK, MARK	BARBER, GILLIAN (I)
STERLING, MINDY	CRYER, JON
ARKIN, ALAN	HAEUSER, RUSSELL M.
ROBERTS, JULIA (I)	BARBER, GILLIAN (I)
GAULT, WILLIE	HOLLY, LAUREN
CLENDENIN, CURT	HAYDEN, LUKE
SANDLER, JACKIE (I)	BARBER, GILLIAN (I)
TAYLOR, BUCK (I)	LIPTON, PEGGY
PODELL, EYAL	BEDFORD LLOYD, JOHN
PLATT, OLIVER	BARBER, GILLIAN (I)
ROBARDS, JASON	POUNDER, CCH
LAFAYETTE, JOHN	WESTON, MICHAEL (I)
FRANKLE, ANDREA	BARBER, GILLIAN (I)
NOWELL, JEFFERY (I)	ULLMAN, TRACEY
